x	y	label	showSelected1	showSelected2	PANEL	group
-2	0.95	1-NN trained on fold 1	1	1	1	-1
-2	0.95	2-NN trained on fold 1	2	1	1	-1
-2	0.95	3-NN trained on fold 1	3	1	1	-1
-2	0.95	4-NN trained on fold 1	4	1	1	-1
-2	0.95	5-NN trained on fold 1	5	1	1	-1
-2	0.95	6-NN trained on fold 1	6	1	1	-1
-2	0.95	7-NN trained on fold 1	7	1	1	-1
-2	0.95	8-NN trained on fold 1	8	1	1	-1
-2	0.95	9-NN trained on fold 1	9	1	1	-1
-2	0.95	10-NN trained on fold 1	10	1	1	-1
-2	0.95	11-NN trained on fold 1	11	1	1	-1
-2	0.95	12-NN trained on fold 1	12	1	1	-1
-2	0.95	13-NN trained on fold 1	13	1	1	-1
-2	0.95	14-NN trained on fold 1	14	1	1	-1
-2	0.95	15-NN trained on fold 1	15	1	1	-1
-2	0.95	16-NN trained on fold 1	16	1	1	-1
-2	0.95	17-NN trained on fold 1	17	1	1	-1
-2	0.95	18-NN trained on fold 1	18	1	1	-1
-2	0.95	19-NN trained on fold 1	19	1	1	-1
-2	0.95	20-NN trained on fold 1	20	1	1	-1
-2	0.95	21-NN trained on fold 1	21	1	1	-1
-2	0.95	22-NN trained on fold 1	22	1	1	-1
-2	0.95	23-NN trained on fold 1	23	1	1	-1
-2	0.95	24-NN trained on fold 1	24	1	1	-1
-2	0.95	25-NN trained on fold 1	25	1	1	-1
-2	0.95	26-NN trained on fold 1	26	1	1	-1
-2	0.95	27-NN trained on fold 1	27	1	1	-1
-2	0.95	28-NN trained on fold 1	28	1	1	-1
-2	0.95	29-NN trained on fold 1	29	1	1	-1
-2	0.95	30-NN trained on fold 1	30	1	1	-1
-2	0.95	1-NN trained on fold 2	1	2	1	-1
-2	0.95	2-NN trained on fold 2	2	2	1	-1
-2	0.95	3-NN trained on fold 2	3	2	1	-1
-2	0.95	4-NN trained on fold 2	4	2	1	-1
-2	0.95	5-NN trained on fold 2	5	2	1	-1
-2	0.95	6-NN trained on fold 2	6	2	1	-1
-2	0.95	7-NN trained on fold 2	7	2	1	-1
-2	0.95	8-NN trained on fold 2	8	2	1	-1
-2	0.95	9-NN trained on fold 2	9	2	1	-1
-2	0.95	10-NN trained on fold 2	10	2	1	-1
-2	0.95	11-NN trained on fold 2	11	2	1	-1
-2	0.95	12-NN trained on fold 2	12	2	1	-1
-2	0.95	13-NN trained on fold 2	13	2	1	-1
-2	0.95	14-NN trained on fold 2	14	2	1	-1
-2	0.95	15-NN trained on fold 2	15	2	1	-1
-2	0.95	16-NN trained on fold 2	16	2	1	-1
-2	0.95	17-NN trained on fold 2	17	2	1	-1
-2	0.95	18-NN trained on fold 2	18	2	1	-1
-2	0.95	19-NN trained on fold 2	19	2	1	-1
-2	0.95	20-NN trained on fold 2	20	2	1	-1
-2	0.95	21-NN trained on fold 2	21	2	1	-1
-2	0.95	22-NN trained on fold 2	22	2	1	-1
-2	0.95	23-NN trained on fold 2	23	2	1	-1
-2	0.95	24-NN trained on fold 2	24	2	1	-1
-2	0.95	25-NN trained on fold 2	25	2	1	-1
-2	0.95	26-NN trained on fold 2	26	2	1	-1
-2	0.95	27-NN trained on fold 2	27	2	1	-1
-2	0.95	28-NN trained on fold 2	28	2	1	-1
-2	0.95	29-NN trained on fold 2	29	2	1	-1
