x	y	label	showSelected1	showSelected2	PANEL	group
-2	0.95	30-NN trained on fold 2	30	2	1	-1
-2	0.95	1-NN trained on fold 3	1	3	1	-1
-2	0.95	2-NN trained on fold 3	2	3	1	-1
-2	0.95	3-NN trained on fold 3	3	3	1	-1
-2	0.95	4-NN trained on fold 3	4	3	1	-1
-2	0.95	5-NN trained on fold 3	5	3	1	-1
-2	0.95	6-NN trained on fold 3	6	3	1	-1
-2	0.95	7-NN trained on fold 3	7	3	1	-1
-2	0.95	8-NN trained on fold 3	8	3	1	-1
-2	0.95	9-NN trained on fold 3	9	3	1	-1
-2	0.95	10-NN trained on fold 3	10	3	1	-1
-2	0.95	11-NN trained on fold 3	11	3	1	-1
-2	0.95	12-NN trained on fold 3	12	3	1	-1
-2	0.95	13-NN trained on fold 3	13	3	1	-1
-2	0.95	14-NN trained on fold 3	14	3	1	-1
-2	0.95	15-NN trained on fold 3	15	3	1	-1
-2	0.95	16-NN trained on fold 3	16	3	1	-1
-2	0.95	17-NN trained on fold 3	17	3	1	-1
-2	0.95	18-NN trained on fold 3	18	3	1	-1
-2	0.95	19-NN trained on fold 3	19	3	1	-1
-2	0.95	20-NN trained on fold 3	20	3	1	-1
-2	0.95	21-NN trained on fold 3	21	3	1	-1
-2	0.95	22-NN trained on fold 3	22	3	1	-1
-2	0.95	23-NN trained on fold 3	23	3	1	-1
-2	0.95	24-NN trained on fold 3	24	3	1	-1
-2	0.95	25-NN trained on fold 3	25	3	1	-1
-2	0.95	26-NN trained on fold 3	26	3	1	-1
-2	0.95	27-NN trained on fold 3	27	3	1	-1
-2	0.95	28-NN trained on fold 3	28	3	1	-1
-2	0.95	29-NN trained on fold 3	29	3	1	-1
-2	0.95	30-NN trained on fold 3	30	3	1	-1
-2	0.95	1-NN trained on fold 4	1	4	1	-1
-2	0.95	2-NN trained on fold 4	2	4	1	-1
-2	0.95	3-NN trained on fold 4	3	4	1	-1
-2	0.95	4-NN trained on fold 4	4	4	1	-1
-2	0.95	5-NN trained on fold 4	5	4	1	-1
-2	0.95	6-NN trained on fold 4	6	4	1	-1
-2	0.95	7-NN trained on fold 4	7	4	1	-1
-2	0.95	8-NN trained on fold 4	8	4	1	-1
-2	0.95	9-NN trained on fold 4	9	4	1	-1
-2	0.95	10-NN trained on fold 4	10	4	1	-1
-2	0.95	11-NN trained on fold 4	11	4	1	-1
-2	0.95	12-NN trained on fold 4	12	4	1	-1
-2	0.95	13-NN trained on fold 4	13	4	1	-1
-2	0.95	14-NN trained on fold 4	14	4	1	-1
-2	0.95	15-NN trained on fold 4	15	4	1	-1
-2	0.95	16-NN trained on fold 4	16	4	1	-1
-2	0.95	17-NN trained on fold 4	17	4	1	-1
-2	0.95	18-NN trained on fold 4	18	4	1	-1
-2	0.95	19-NN trained on fold 4	19	4	1	-1
-2	0.95	20-NN trained on fold 4	20	4	1	-1
-2	0.95	21-NN trained on fold 4	21	4	1	-1
-2	0.95	22-NN trained on fold 4	22	4	1	-1
-2	0.95	23-NN trained on fold 4	23	4	1	-1
-2	0.95	24-NN trained on fold 4	24	4	1	-1
-2	0.95	25-NN trained on fold 4	25	4	1	-1
-2	0.95	26-NN trained on fold 4	26	4	1	-1
-2	0.95	27-NN trained on fold 4	27	4	1	-1
-2	0.95	28-NN trained on fold 4	28	4	1	-1
-2	0.95	29-NN trained on fold 4	29	4	1	-1
-2	0.95	30-NN trained on fold 4	30	4	1	-1
-2	0.95	1-NN trained on fold 1	1	1	5	-1
-2	0.95	2-NN trained on fold 1	2	1	5	-1
-2	0.95	3-NN trained on fold 1	3	1	5	-1
-2	0.95	4-NN trained on fold 1	4	1	5	-1
-2	0.95	5-NN trained on fold 1	5	1	5	-1
-2	0.95	6-NN trained on fold 1	6	1	5	-1
-2	0.95	7-NN trained on fold 1	7	1	5	-1
-2	0.95	8-NN trained on fold 1	8	1	5	-1
-2	0.95	9-NN trained on fold 1	9	1	5	-1
-2	0.95	10-NN trained on fold 1	10	1	5	-1
-2	0.95	11-NN trained on fold 1	11	1	5	-1
-2	0.95	12-NN trained on fold 1	12	1	5	-1
-2	0.95	13-NN trained on fold 1	13	1	5	-1
-2	0.95	14-NN trained on fold 1	14	1	5	-1
-2	0.95	15-NN trained on fold 1	15	1	5	-1
-2	0.95	16-NN trained on fold 1	16	1	5	-1
-2	0.95	17-NN trained on fold 1	17	1	5	-1
-2	0.95	18-NN trained on fold 1	18	1	5	-1
-2	0.95	19-NN trained on fold 1	19	1	5	-1
-2	0.95	20-NN trained on fold 1	20	1	5	-1
-2	0.95	21-NN trained on fold 1	21	1	5	-1
-2	0.95	22-NN trained on fold 1	22	1	5	-1
-2	0.95	23-NN trained on fold 1	23	1	5	-1
-2	0.95	24-NN trained on fold 1	24	1	5	-1
-2	0.95	25-NN trained on fold 1	25	1	5	-1
-2	0.95	26-NN trained on fold 1	26	1	5	-1
-2	0.95	27-NN trained on fold 1	27	1	5	-1
-2	0.95	28-NN trained on fold 1	28	1	5	-1
-2	0.95	29-NN trained on fold 1	29	1	5	-1
-2	0.95	30-NN trained on fold 1	30	1	5	-1
-2	0.95	1-NN trained on fold 2	1	2	5	-1
-2	0.95	2-NN trained on fold 2	2	2	5	-1
-2	0.95	3-NN trained on fold 2	3	2	5	-1
-2	0.95	4-NN trained on fold 2	4	2	5	-1
-2	0.95	5-NN trained on fold 2	5	2	5	-1
-2	0.95	6-NN trained on fold 2	6	2	5	-1
-2	0.95	7-NN trained on fold 2	7	2	5	-1
-2	0.95	8-NN trained on fold 2	8	2	5	-1
-2	0.95	9-NN trained on fold 2	9	2	5	-1
-2	0.95	10-NN trained on fold 2	10	2	5	-1
-2	0.95	11-NN trained on fold 2	11	2	5	-1
-2	0.95	12-NN trained on fold 2	12	2	5	-1
-2	0.95	13-NN trained on fold 2	13	2	5	-1
-2	0.95	14-NN trained on fold 2	14	2	5	-1
-2	0.95	15-NN trained on fold 2	15	2	5	-1
-2	0.95	16-NN trained on fold 2	16	2	5	-1
-2	0.95	17-NN trained on fold 2	17	2	5	-1
-2	0.95	18-NN trained on fold 2	18	2	5	-1
-2	0.95	19-NN trained on fold 2	19	2	5	-1
-2	0.95	20-NN trained on fold 2	20	2	5	-1
-2	0.95	21-NN trained on fold 2	21	2	5	-1
-2	0.95	22-NN trained on fold 2	22	2	5	-1
-2	0.95	23-NN trained on fold 2	23	2	5	-1
-2	0.95	24-NN trained on fold 2	24	2	5	-1
-2	0.95	25-NN trained on fold 2	25	2	5	-1
-2	0.95	26-NN trained on fold 2	26	2	5	-1
-2	0.95	27-NN trained on fold 2	27	2	5	-1
-2	0.95	28-NN trained on fold 2	28	2	5	-1
-2	0.95	29-NN trained on fold 2	29	2	5	-1
-2	0.95	30-NN trained on fold 2	30	2	5	-1
-2	0.95	1-NN trained on fold 3	1	3	5	-1
-2	0.95	2-NN trained on fold 3	2	3	5	-1
-2	0.95	3-NN trained on fold 3	3	3	5	-1
-2	0.95	4-NN trained on fold 3	4	3	5	-1
-2	0.95	5-NN trained on fold 3	5	3	5	-1
-2	0.95	6-NN trained on fold 3	6	3	5	-1
-2	0.95	7-NN trained on fold 3	7	3	5	-1
-2	0.95	8-NN trained on fold 3	8	3	5	-1
-2	0.95	9-NN trained on fold 3	9	3	5	-1
-2	0.95	10-NN trained on fold 3	10	3	5	-1
-2	0.95	11-NN trained on fold 3	11	3	5	-1
-2	0.95	12-NN trained on fold 3	12	3	5	-1
-2	0.95	13-NN trained on fold 3	13	3	5	-1
-2	0.95	14-NN trained on fold 3	14	3	5	-1
-2	0.95	15-NN trained on fold 3	15	3	5	-1
-2	0.95	16-NN trained on fold 3	16	3	5	-1
-2	0.95	17-NN trained on fold 3	17	3	5	-1
-2	0.95	18-NN trained on fold 3	18	3	5	-1
-2	0.95	19-NN trained on fold 3	19	3	5	-1
-2	0.95	20-NN trained on fold 3	20	3	5	-1
-2	0.95	21-NN trained on fold 3	21	3	5	-1
-2	0.95	22-NN trained on fold 3	22	3	5	-1
-2	0.95	23-NN trained on fold 3	23	3	5	-1
-2	0.95	24-NN trained on fold 3	24	3	5	-1
-2	0.95	25-NN trained on fold 3	25	3	5	-1
-2	0.95	26-NN trained on fold 3	26	3	5	-1
-2	0.95	27-NN trained on fold 3	27	3	5	-1
-2	0.95	28-NN trained on fold 3	28	3	5	-1
-2	0.95	29-NN trained on fold 3	29	3	5	-1
-2	0.95	30-NN trained on fold 3	30	3	5	-1
-2	0.95	1-NN trained on fold 4	1	4	5	-1
-2	0.95	2-NN trained on fold 4	2	4	5	-1
-2	0.95	3-NN trained on fold 4	3	4	5	-1
-2	0.95	4-NN trained on fold 4	4	4	5	-1
-2	0.95	5-NN trained on fold 4	5	4	5	-1
-2	0.95	6-NN trained on fold 4	6	4	5	-1
-2	0.95	7-NN trained on fold 4	7	4	5	-1
-2	0.95	8-NN trained on fold 4	8	4	5	-1
-2	0.95	9-NN trained on fold 4	9	4	5	-1
-2	0.95	10-NN trained on fold 4	10	4	5	-1
-2	0.95	11-NN trained on fold 4	11	4	5	-1
-2	0.95	12-NN trained on fold 4	12	4	5	-1
-2	0.95	13-NN trained on fold 4	13	4	5	-1
-2	0.95	14-NN trained on fold 4	14	4	5	-1
-2	0.95	15-NN trained on fold 4	15	4	5	-1
-2	0.95	16-NN trained on fold 4	16	4	5	-1
-2	0.95	17-NN trained on fold 4	17	4	5	-1
-2	0.95	18-NN trained on fold 4	18	4	5	-1
-2	0.95	19-NN trained on fold 4	19	4	5	-1
-2	0.95	20-NN trained on fold 4	20	4	5	-1
-2	0.95	21-NN trained on fold 4	21	4	5	-1
-2	0.95	22-NN trained on fold 4	22	4	5	-1
-2	0.95	23-NN trained on fold 4	23	4	5	-1
-2	0.95	24-NN trained on fold 4	24	4	5	-1
-2	0.95	25-NN trained on fold 4	25	4	5	-1
-2	0.95	26-NN trained on fold 4	26	4	5	-1
-2	0.95	27-NN trained on fold 4	27	4	5	-1
-2	0.95	28-NN trained on fold 4	28	4	5	-1
-2	0.95	29-NN trained on fold 4	29	4	5	-1
-2	0.95	30-NN trained on fold 4	30	4	5	-1
