x	y	PANEL	group
1	0.02248282606142	5	-1
2	0.0166137940844265	5	-1
3	0.0138714956210189	5	-1
4	0.0129562389771993	5	-1
5	0.0134904220989082	5	-1
6	0.0134476757898288	5	-1
7	0.0126040193111929	5	-1
8	0.0124426933578446	5	-1
9	0.0117869443818397	5	-1
10	0.0114497398328141	5	-1
11	0.0115957510762	5	-1
12	0.0114237450304454	5	-1
13	0.0113642227022768	5	-1
14	0.01143742621851	5	-1
15	0.0114694679375371	5	-1
16	0.0114619804097056	5	-1
17	0.0115888159176286	5	-1
18	0.0113184364016027	5	-1
19	0.0115415116825335	5	-1
20	0.0116660203499584	5	-1
21	0.0114182277115747	5	-1
22	0.0114011868397191	5	-1
23	0.0112489114391993	5	-1
24	0.0113282972846868	5	-1
25	0.0112628847235994	5	-1
26	0.0114689304608348	5	-1
27	0.0113860931869714	5	-1
28	0.0112925801689102	5	-1
29	0.0113729251407007	5	-1
30	0.0113656163106978	5	-1
1	0.00704269978694053	6	-1
2	0.00531040153959362	6	-1
3	0.00523275639586973	6	-1
4	0.00497950284971008	6	-1
5	0.00480824244692357	6	-1
6	0.00459811333173881	6	-1
7	0.00494009069392321	6	-1
8	0.0056366739920248	6	-1
9	0.00578523214883651	6	-1
10	0.00570803710280156	6	-1
11	0.00609388360898241	6	-1
12	0.00607846700235854	6	-1
13	0.00608518418029792	6	-1
14	0.00603349459018528	6	-1
15	0.0061679249659362	6	-1
16	0.00653149900354624	6	-1
17	0.00700337909644732	6	-1
18	0.00734791440869485	6	-1
19	0.00778231647037407	6	-1
20	0.00824270252647062	6	-1
21	0.00847216596613665	6	-1
22	0.00862110493369466	6	-1
23	0.00884043972988192	6	-1
24	0.0092765697370643	6	-1
25	0.00979639729969954	6	-1
26	0.0108122760501877	6	-1
27	0.0117734935863823	6	-1
28	0.0128388067421243	6	-1
29	0.0133966897673767	6	-1
30	0.0139582652590703	6	-1
1	0.00432288281624205	7	-1
2	0.00355058454536932	7	-1
3	0.00290453891004048	7	-1
4	0.00312559933401436	7	-1
5	0.00334436720879063	7	-1
6	0.00380690653298353	7	-1
7	0.0043836581518924	7	-1
8	0.0051262220085892	7	-1
9	0.00571221844568255	7	-1
10	0.00654133006128816	7	-1
11	0.00706796647662978	7	-1
12	0.00780838119098809	7	-1
13	0.00861386958896247	7	-1
14	0.00959783123923574	7	-1
15	0.0105317640903298	7	-1
16	0.0110338710752937	7	-1
17	0.0117523679262896	7	-1
18	0.0124477816840328	7	-1
19	0.0129668253858823	7	-1
20	0.0136439762945546	7	-1
21	0.0144330186283535	7	-1
22	0.0151097029747142	7	-1
23	0.0155815570763938	7	-1
24	0.0159892954829766	7	-1
25	0.0166139145610821	7	-1
26	0.0172316740662876	7	-1
27	0.0179941087220511	7	-1
28	0.018677040479844	7	-1
29	0.0191785864304068	7	-1
30	0.019786495047438	7	-1
1	0.0135969462182254	8	-1
2	0.0130083672864727	8	-1
3	0.0110253707052984	8	-1
4	0.0101128371387354	8	-1
5	0.0092607276803115	8	-1
6	0.00905162144689108	8	-1
7	0.00887335703903694	8	-1
8	0.0080660719848059	8	-1
9	0.00822027655312012	8	-1
10	0.00879137988086318	8	-1
11	0.00883375319852473	8	-1
12	0.00916421988139308	8	-1
13	0.00946276044052202	8	-1
14	0.00959855838433195	8	-1
15	0.0100410524544016	8	-1
16	0.0107740075207017	8	-1
17	0.0117078986809899	8	-1
18	0.0119877170366865	8	-1
19	0.0124097501737801	8	-1
20	0.0130324714581527	8	-1
21	0.0135375952860274	8	-1
22	0.0138556538989885	8	-1
23	0.0143944185329761	8	-1
24	0.0145781489087153	8	-1
25	0.0151669562252883	8	-1
26	0.0159838213893583	8	-1
27	0.0167671043459152	8	-1
28	0.0178938858935174	8	-1
29	0.0183239427279395	8	-1
30	0.0186481244068774	8	-1
