xmin	xmax	clickSelects	PANEL	group
1.5	2.5	2	8	-1
2.5	3.5	3	8	-1
3.5	4.5	4	8	-1
4.5	5.5	5	8	-1
5.5	6.5	6	8	-1
6.5	7.5	7	8	-1
7.5	8.5	8	8	-1
8.5	9.5	9	8	-1
9.5	10.5	10	8	-1
10.5	11.5	11	8	-1
11.5	12.5	12	8	-1
12.5	13.5	13	8	-1
13.5	14.5	14	8	-1
14.5	15.5	15	8	-1
15.5	16.5	16	8	-1
16.5	17.5	17	8	-1
17.5	18.5	18	8	-1
18.5	19.5	19	8	-1
19.5	20.5	20	8	-1
20.5	21.5	21	8	-1
21.5	22.5	22	8	-1
22.5	23.5	23	8	-1
23.5	24.5	24	8	-1
24.5	25.5	25	8	-1
25.5	26.5	26	8	-1
26.5	27.5	27	8	-1
27.5	28.5	28	8	-1
28.5	29.5	29	8	-1
29.5	30.5	30	8	-1
