colour	x	y	group	showSelectedlegendcolour	clickSelects	PANEL
#377EB8	7	0.00558045027279416	1	1	1	2
#377EB8	8	0.00614884873390784	1	1	1	2
#377EB8	9	0.00638140529406287	1	1	1	2
#377EB8	10	0.00610879284339973	1	1	1	2
#377EB8	11	0.00707951601223612	1	1	1	2
#377EB8	12	0.00663056173661693	1	1	1	2
#377EB8	13	0.00674121109308208	1	1	1	2
#377EB8	14	0.00618953662232619	1	1	1	2
#377EB8	15	0.00624484147879908	1	1	1	2
#377EB8	16	0.0060337293133781	1	1	1	2
#377EB8	17	0.00647292471943163	1	1	1	2
#377EB8	18	0.00637692938329617	1	1	1	2
#377EB8	19	0.00628684791788357	1	1	1	2
#377EB8	20	0.00641663680912883	1	1	1	2
#377EB8	21	0.00671992411924686	1	1	1	2
#377EB8	22	0.00668557068407512	1	1	1	2
#377EB8	23	0.0072711664775029	1	1	1	2
#377EB8	24	0.00771611213261807	1	1	1	2
#377EB8	25	0.00786125315439888	1	1	1	2
#377EB8	26	0.00842793600482365	1	1	1	2
#377EB8	27	0.00939741723183726	1	1	1	2
#377EB8	28	0.0101781701103202	1	1	1	2
#377EB8	29	0.0102917525159357	1	1	1	2
#377EB8	30	0.0106968725402074	1	1	1	2
#4DAF4A	1	0.00573743259694243	2	2	2	2
#4DAF4A	2	0.00610393863724225	2	2	2	2
#4DAF4A	3	0.00497294573410069	2	2	2	2
#4DAF4A	4	0.00544606955126004	2	2	2	2
#4DAF4A	5	0.00404251438353804	2	2	2	2
#4DAF4A	6	0.0035724499762595	2	2	2	2
#4DAF4A	7	0.00380873863925019	2	2	2	2
#4DAF4A	8	0.00444606894115883	2	2	2	2
#4DAF4A	9	0.00458152450519801	2	2	2	2
#4DAF4A	10	0.00438911128873796	2	2	2	2
#4DAF4A	11	0.00442032471941729	2	2	2	2
#4DAF4A	12	0.00440804818431676	2	2	2	2
#4DAF4A	13	0.00455843442113674	2	2	2	2
#4DAF4A	14	0.00475544852859945	2	2	2	2
#4DAF4A	15	0.00503751024525367	2	2	2	2
#4DAF4A	16	0.00552151145427492	2	2	2	2
#4DAF4A	17	0.00647107305227808	2	2	2	2
#4DAF4A	18	0.00743889876924958	2	2	2	2
#4DAF4A	19	0.00814126356061604	2	2	2	2
#4DAF4A	20	0.00896250709820436	2	2	2	2
#4DAF4A	21	0.00941156896584109	2	2	2	2
#4DAF4A	22	0.0094564957037939	2	2	2	2
#4DAF4A	23	0.00969922150100012	2	2	2	2
#4DAF4A	24	0.0102083131040111	2	2	2	2
#4DAF4A	25	0.0102121149465428	2	2	2	2
#4DAF4A	26	0.0116842346855218	2	2	2	2
