linetype	x	showSelectedlegendlinetype	PANEL	group
solid	1.5427135678392	prediction	1	142
solid	1.5678391959799	prediction	1	143
solid	1.5929648241206	prediction	1	144
solid	1.61809045226131	prediction	1	145
solid	1.64321608040201	prediction	1	146
solid	1.66834170854271	prediction	1	147
solid	1.69346733668342	prediction	1	148
solid	1.71859296482412	prediction	1	149
solid	1.74371859296482	prediction	1	150
solid	1.76884422110553	prediction	1	151
solid	1.79396984924623	prediction	1	152
solid	1.81909547738693	prediction	1	153
solid	1.84422110552764	prediction	1	154
solid	1.86934673366834	prediction	1	155
solid	1.89447236180905	prediction	1	156
solid	1.91959798994975	prediction	1	157
solid	1.94472361809045	prediction	1	158
solid	1.96984924623116	prediction	1	159
solid	1.99497487437186	prediction	1	160
solid	2.02010050251256	prediction	1	161
solid	2.04522613065327	prediction	1	162
solid	2.07035175879397	prediction	1	163
solid	2.09547738693467	prediction	1	164
solid	2.12060301507538	prediction	1	165
solid	2.14572864321608	prediction	1	166
solid	2.17085427135678	prediction	1	167
solid	2.19597989949749	prediction	1	168
solid	2.22110552763819	prediction	1	169
solid	2.24623115577889	prediction	1	170
solid	2.2713567839196	prediction	1	171
solid	2.2964824120603	prediction	1	172
solid	2.32160804020101	prediction	1	173
solid	2.34673366834171	prediction	1	174
solid	2.37185929648241	prediction	1	175
solid	2.39698492462312	prediction	1	176
solid	2.42211055276382	prediction	1	177
solid	2.44723618090452	prediction	1	178
solid	2.47236180904523	prediction	1	179
solid	2.49748743718593	prediction	1	180
solid	2.52261306532663	prediction	1	181
solid	2.54773869346734	prediction	1	182
solid	2.57286432160804	prediction	1	183
solid	2.59798994974874	prediction	1	184
solid	2.62311557788945	prediction	1	185
solid	2.64824120603015	prediction	1	186
solid	2.67336683417085	prediction	1	187
solid	2.69849246231156	prediction	1	188
solid	2.72361809045226	prediction	1	189
solid	2.74874371859296	prediction	1	190
solid	2.77386934673367	prediction	1	191
solid	2.79899497487437	prediction	1	192
solid	2.82412060301508	prediction	1	193
solid	2.84924623115578	prediction	1	194
solid	2.87437185929648	prediction	1	195
solid	2.89949748743719	prediction	1	196
solid	2.92462311557789	prediction	1	197
solid	2.94974874371859	prediction	1	198
solid	2.9748743718593	prediction	1	199
solid	3	prediction	1	200
solid	-2	prediction	2	201
solid	-1.9748743718593	prediction	2	202
solid	-1.94974874371859	prediction	2	203
solid	-1.92462311557789	prediction	2	204
solid	-1.89949748743719	prediction	2	205
solid	-1.87437185929648	prediction	2	206
solid	-1.84924623115578	prediction	2	207
solid	-1.82412060301508	prediction	2	208
solid	-1.79899497487437	prediction	2	209
solid	-1.77386934673367	prediction	2	210
solid	-1.74874371859296	prediction	2	211
solid	-1.72361809045226	prediction	2	212
solid	-1.69849246231156	prediction	2	213
solid	-1.67336683417085	prediction	2	214
solid	-1.64824120603015	prediction	2	215
solid	-1.62311557788945	prediction	2	216
solid	-1.59798994974874	prediction	2	217
solid	-1.57286432160804	prediction	2	218
solid	-1.54773869346734	prediction	2	219
solid	-1.52261306532663	prediction	2	220
solid	-1.49748743718593	prediction	2	221
solid	-1.47236180904523	prediction	2	222
solid	-1.44723618090452	prediction	2	223
solid	-1.42211055276382	prediction	2	224
solid	-1.39698492462312	prediction	2	225
